data,Velocidade Média do Vento 10m,Precipitação Pluviométrica,Pressão Atmosférica,Direção do Vento 10m,Radiação,Temperatura do Ar a 2m,Umidade Relativa do Ar a 2m
2005-05-11 03:00:00,1.0,0.0,1001.1,189.0,0.0,23.6,89.6
2005-05-11 06:00:00,1.0,0.0,999.8,162.0,0.0,22.4,92.8
2005-05-11 09:00:00,1.0,,1000.9,147.0,1.85,,92.8
2005-05-11 12:00:00,3.0,0.0,1001.7,153.0,334.26,29.6,59.2
2005-05-11 15:00:00,4.0,0.0,999.8,147.0,527.78,31.8,51.2
2005-05-11 18:00:00,4.0,0.0,997.6,126.0,485.19,32.7,48.0
2005-05-11 21:00:00,4.0,0.0,998.6,144.0,175.93,30.1,57.6
2005-05-12 00:00:00,2.0,3.8,1001.6,129.0,0.0,24.9,91.2
2005-05-12 03:00:00,1.0,9.4,1000.7,156.0,0.0,24.9,91.2
2005-05-12 06:00:00,1.0,0.0,999.3,162.0,0.0,24.4,91.2
2005-05-12 09:00:00,1.0,0.0,1000.6,171.0,1.85,23.6,91.2
2005-05-12 12:00:00,3.0,0.0,1002.0,147.0,228.7,27.3,72.0
2005-05-12 15:00:00,5.0,0.0,1000.7,129.0,604.63,29.1,67.2
2005-05-12 18:00:00,3.0,0.0,998.1,96.0,524.07,29.3,67.2
2005-05-12 21:00:00,2.0,0.0,999.0,60.0,189.81,27.9,76.8
2005-05-13 00:00:00,2.0,0.0,1001.3,96.0,0.0,26.5,81.6
2005-05-13 03:00:00,1.0,0.0,1001.2,129.0,0.0,24.1,91.2
2005-05-13 06:00:00,0.0,0.0,1000.0,159.0,0.0,23.2,94.4
2005-05-13 09:00:00,0.0,0.0,1000.6,156.0,1.85,23.0,94.4
2005-05-13 12:00:00,3.0,0.0,1001.5,150.0,354.63,28.9,65.6
2005-05-13 15:00:00,5.0,0.0,999.8,129.0,624.07,30.7,59.2
2005-05-13 18:00:00,4.0,0.0,997.5,105.0,440.74,29.8,65.6
2005-05-13 21:00:00,3.0,0.8,999.1,75.0,103.7,25.7,86.4
2005-05-14 00:00:00,2.0,11.4,1000.6,114.0,0.0,23.9,92.8
2005-05-14 03:00:00,1.0,0.0,1000.0,141.0,0.0,24.3,91.2
2005-05-14 06:00:00,1.0,0.0,999.0,135.0,0.0,24.3,89.6
2005-05-14 09:00:00,1.0,0.0,999.7,129.0,3.7,23.8,91.2
2005-05-14 12:00:00,4.0,0.0,1000.3,141.0,318.52,28.3,68.8
2005-05-14 15:00:00,4.0,0.0,998.8,123.0,600.0,30.5,59.2
2005-05-14 18:00:00,4.0,0.0,996.5,126.0,594.44,31.3,56.0
2005-05-14 21:00:00,3.0,0.0,997.6,150.0,143.52,28.0,67.2
2005-05-15 00:00:00,2.0,0.0,999.7,111.0,0.0,26.4,76.8
2005-05-15 03:00:00,2.0,0.0,999.3,117.0,0.0,24.8,81.6
2005-05-15 06:00:00,1.0,0.0,998.4,147.0,0.0,22.4,91.2
2005-05-15 09:00:00,1.0,0.0,999.2,165.0,3.7,22.1,91.2
2005-05-15 12:00:00,3.0,0.0,999.8,150.0,350.93,28.4,62.4
2005-05-15 15:00:00,5.0,0.0,998.3,135.0,631.48,31.1,52.8
2005-05-15 18:00:00,3.0,0.0,996.0,141.0,590.74,31.9,46.4
2005-05-15 21:00:00,1.0,0.0,997.2,147.0,104.63,29.0,68.8
2005-05-16 00:00:00,1.0,0.2,999.0,42.0,0.0,26.5,84.8
2005-05-16 03:00:00,2.0,0.0,999.1,156.0,0.0,25.0,88.0
2005-05-16 06:00:00,2.0,0.0,997.8,156.0,0.0,24.4,83.2
2005-05-16 09:00:00,2.0,0.0,999.4,162.0,1.85,23.4,89.6
2005-05-16 12:00:00,3.0,0.0,1000.3,150.0,328.7,29.2,62.4
2005-05-16 15:00:00,4.0,0.0,998.8,117.0,509.26,29.7,65.6
2005-05-16 18:00:00,4.0,0.0,998.5,147.0,50.0,24.3,84.8
2005-05-16 21:00:00,4.0,0.0,998.5,147.0,50.0,24.3,84.8
2005-05-17 00:00:00,1.0,0.0,999.6,141.0,0.0,24.6,86.4
2005-05-17 03:00:00,0.0,0.0,999.0,174.0,0.0,24.1,91.2
2005-05-17 06:00:00,1.0,0.0,997.8,165.0,0.0,23.3,92.8
2005-05-17 09:00:00,1.0,0.0,998.5,165.0,1.85,22.6,92.8
2005-05-17 12:00:00,3.0,0.0,999.6,156.0,254.63,28.4,67.2
2005-05-17 15:00:00,5.0,0.0,997.2,144.0,650.93,31.2,52.8
2005-05-17 18:00:00,4.0,0.0,995.1,138.0,481.48,32.9,48.0
2005-05-17 21:00:00,2.0,0.0,996.2,129.0,117.59,29.8,60.8
2005-05-18 00:00:00,2.0,0.0,998.9,69.0,0.0,25.3,88.0
2005-05-18 03:00:00,1.0,2.8,998.4,123.0,0.0,24.4,92.8
2005-05-18 06:00:00,1.0,0.2,997.4,162.0,0.0,24.4,92.8
2005-05-18 09:00:00,1.0,0.0,998.4,147.0,0.93,23.7,89.6
2005-05-18 12:00:00,3.0,0.0,1000.0,153.0,181.48,26.9,73.6
2005-05-18 15:00:00,5.0,0.0,997.6,147.0,712.96,31.3,52.8
2005-05-18 18:00:00,5.0,0.0,995.4,144.0,494.44,31.3,51.2
2005-05-18 21:00:00,3.0,0.0,996.2,147.0,150.93,28.6,65.6
2005-05-19 00:00:00,1.0,0.0,998.4,84.0,0.0,26.7,80.0
2005-05-19 03:00:00,1.0,0.0,998.2,66.0,0.0,25.5,88.0
2005-05-19 06:00:00,1.0,0.0,997.2,108.0,0.0,25.0,88.0
2005-05-19 09:00:00,2.0,0.0,998.1,102.0,0.93,23.8,91.2
2005-05-19 12:00:00,3.0,0.0,999.2,144.0,300.0,28.9,60.8
2005-05-19 15:00:00,5.0,0.0,997.9,141.0,722.22,31.4,52.8
2005-05-19 18:00:00,3.0,0.0,996.1,132.0,451.85,31.7,52.8
2005-05-19 21:00:00,2.0,0.0,997.5,108.0,122.22,28.7,67.2
2005-05-20 00:00:00,3.0,0.0,1000.0,69.0,0.0,25.9,80.0
2005-05-20 03:00:00,2.0,0.2,1000.3,123.0,0.0,23.5,92.8
2005-05-20 06:00:00,1.0,0.0,999.1,174.0,0.0,23.7,91.2
2005-05-20 09:00:00,0.0,0.0,999.9,132.0,1.85,23.9,91.2
2005-05-20 12:00:00,3.0,0.0,1000.9,150.0,350.0,29.1,64.0
2005-05-20 15:00:00,3.0,0.0,999.3,132.0,605.56,31.1,56.0
2005-05-20 18:00:00,3.0,0.0,996.5,108.0,556.48,33.5,44.8
2005-05-20 21:00:00,4.0,0.0,998.9,93.0,83.33,25.5,84.8
2005-05-21 00:00:00,2.0,0.2,1000.8,21.0,0.0,25.1,89.6
2005-05-21 03:00:00,0.0,0.0,1000.4,144.0,0.0,24.4,91.2
